ru;de;typ;topic;einheit
дядя;Onkel;m. (Pers.);люди;
еда;Essen;f.;еда;
единица;Einheit;f.;мера;
ездить;fahren;Verb;путешествие;
есть;essen;Verb;еда;
ехать;fahren;Verb;путешествие;
ждать;warten;Verb;люди, время;
желание;Wunsch;n.;внутренний мир;
желать;wünschen;Verb;внутренний мир;
жена;Ehefrau;f. (Pers.);люди;
женский;weiblich;Adj.;люди, описание;
женщина;Frau;f. (Pers.);люди;
жизнь;Leben;f.;время, люди;
житель;Einwohner;m. (Pers.);люди;
жить;leben;Verb;время, люди;
журнал;Zeitschrift;m.;свободное время, учёба/работа;
журналист;Journalist;m. (Pers.);люди, учёба/работа;
жёлтый;gelb;Adj.;описание;
завод;Betrieb / Werk;m.;учёба/работа;
завтрак;Frühstück;m.;еда;
завтракать;frühstücken;Verb;еда;
звонить;klingeln;Verb;люди, общение;
здание;Gebäude;n.;жильё, учёба/работа;
здоровый;gesund;Adj.;здоровье, описание;
здоровье;Gesundheit;n.;внутренний мир;
здравствовать;leben;Verb;люди, общение;
зелёный;Grün;Adj.;описание;
зима;Winter;f.;погода, время;
знать;Adel;Verb;внутренний мир, учёба/работа;
игра;Spiel;f.;люди, свободное время;
играть;spielen;Verb;люди, свободное время;
идти;gehen;Verb;люди, свободное время, погода;
известный;bekannt;Adj.;люди;
имя;Name;n.;люди;
инженер;Ingenieur;m. (Pers.);учёба/работа, люди;
иностранец;Ausländer;m. (Pers.);политика, люди;
иностранный;ausländisch;Adj.;политика, описание;
интересный;interessant;Adj.;описание;
исторический;historisch;Adj.;описание;
история;Geschichte;f.;время, учёба/работа;
июль;Juli;m.;время;
июнь;Juni;m.;время;
кабинет;Zimmer;m.;учёба/работа;
карандаш;Bleistift;m.;учёба/работа, магазин;
карта;Karte;f.;свободное время, учёба/работа, путешествие, магазин;
картина;Bild;f.;жильё, свободное время;
картошка;Kartoffel;f.;еда, магазин;
касса;Kasse;f.;магазин;
качество;Qualität;n.;мера, описание;
квартира;Wohnung;f.;люди, жильё;06
килограмм;Kilogramm;m.;мера;
класс;Klasse;m.;люди, учёба/работа;
клуб;Klub;m.;свободное время, общение;
ключ;Schlüssel;m.;жильё;
книга;Buch;f.;учёба/работа, свободное время;04
книжный;Buch-;Adj.;описание, магазин;
колбаса;Wurst;f.;еда, магазин;
комедия;Komödie;f.;свободное время;
коммуникация;Kommunikation;f.;общение;
комната;Zimmer;f.;жильё;06
компьютер;Computer;m.;свободное время, учёба/работа;
конверт;Briefumschlag;m.;учёба/работа, магазин;
конец;Ende;m.;мера;
концерт;Konzert;m.;свободное время, общение;
кончать;fertig sein;Verb;мера, время;
копейка;Kopeke;f.;магазин;
коричневый;braun;Adj.;описание;
костюм;Anzug;m.;одежда;
кошка;Katze;f. (Pers.);животные/растения;
красивый;schön;Adj.;описание;
красный;Rot;Adj.;описание;
кресло;Sessel;n.;жильё;
купить;kaufen;Verb;магазин;
курить;rauchen;Verb;люди, здоровье;
курица;Huhn;f. (Pers.);еда, магазин;
курс;Kurs;m.;учёба/работа;
кухня;Die Küche;f.;еда, жильё;
лампа;Lampe;f.;жильё, магазин;
левый;Linke(r;Adj.;люди, описание;
лежать;liegen;Verb;свободное время, жильё;
лекция;Vorlesung;f.;учёба/работа;
лето;Sommer;n.;мера, время;
литература;Literatur;f.;учёба/работа, свободное время;
лицо;Gesicht;n.;люди, здоровье, учёба/работа;
ложка;Der Löffel;f.;еда, жильё;
любимый;Lieblings-;Adj.;описание;
любить;lieben;Verb;внутренний мир;
любовь;Liebe;f.;внутренний мир, люди;
лёгкий;leicht;Adj.;мера;
магазин;Geschäft;m.;магазин;04
май;Mai;m.;время;
маленький;klein;Adj.;мера;07
мальчик;Junge;m. (Pers.);люди;
мама;Mama;f. (Pers.);люди;06
марка;Briefmarke;f.;магазин;
март;März;m.;время;
масло;Butter;n.;еда;
математика;Mathematik;f.;учёба/работа;
мать;Mutter;f. (Pers.);люди;
машина;Auto;f.;люди, путешествие;06
мебель;Möbel;f.;жильё;
медицина;Medizin;f.;здоровье;
менеджер;Manager;m. (Pers.);люди, учёба/работа;
место;Platz;n.;путешествие;
месяц;Monat;m.;мера, время;
метр;Meter;m.;мера;
мечтать;träumen;Verb;внутренний мир;
милиция;Miliz;f.;учёба/работа;
минута;Minute;f.;мера, время;
мир;Welt;m.;люди, путешествие;
младший;der jüngere;Adj.;люди, описание;
молодой;jung;Adj.;люди, мера, время;
молоко;Milch;n.;еда;
море;Meer;n.;путешествие;
мороженое;Eis (Speiseeis);n.;еда, магазин;
московский;Moskauer;Adj.;жильё, путешествие;
мочь;Macht;Verb;люди, свободное время;
муж;Mann;m. (Pers.);люди;
мужской;Männer-;Adj.;люди, описание;
мужчина;Mann;m. (Pers.);люди;
музей;Museum;m.;свободное время;04
музыка;Musik;f.;свободное время;
музыкант;Musiker;m. (Pers.);свободное время, учёба/работа;
мясо;Fleisch;n.;еда;
называться;heißen;Verb;описание;
написать;schreiben;Adj.;учёба/работа, люди, общение;
народный;Volks-;Adj.;люди, общение;
настоящий;echt;Adj.;время, описание;
научный;wissenschaftlich;Adj.;люди, учёба/работа;
находиться;sich befinden;Verb;путешествие, жильё;
национальность;Nationalität;f.;политика, люди;
национальный;National-;Adj.;политика;
неделя;Woche;f.;мера, время;
немец;der Deutsche;m. (Pers.);люди, политика;
немецкий;Deutsch;Adj.;политика, описание, люди;
новость;Neuigkeit;f.;политика, общение;
новый;neu;Adj.;время;07
нога;Fuß;f.;люди, здоровье;
нож;Messer;m.;жильё;
номер;Nummer;m.;жильё;
ночь;Nacht;f.;мера, время;
ноябрь;November;m.;время;
нравиться;gefallen;Verb;внутренний мир;
нужный;brauchen;Adj.;внутренний мир, учёба/работа;
обед;Mittagessen;m.;еда;
обедать;Mittag essen;Verb;еда;
образование;Bildung;n.;учёба/работа;
обувь;Schuhe;f.;магазин, одежда;
общежитие;Wohnheim;n.;жильё, учёба/работа;
общий;gemeinsam;Adj.;люди;
овощ;Gemüse;m.;еда, магазин;
одежда;Kleidung;f.;магазин;
окно;Fenster;n.;жильё;03
октябрь;Oktober;m.;время;
опаздывать;sich verspäten;Verb;время, учёба/работа;
осень;Herbst;f.;время;
остановка;Haltestelle;f.;транспорт, путешествие;
ответ;Antwort;m.;люди;
отдыхать;sich ausruhen;Verb;свободное время;
отец;Vater;m. (Pers.);люди;
открытка;Postkarte;f.;общение, магазин;
очки;Brille;nur Pl.;магазин, здоровье;
ошибка;Fehler;f.;люди, учёба/работа;
пальто;Mantel;n.;одежда;
папа;Papa;m. (Pers.);люди, общение;06
парк;Park;m.;свободное время;04
паспорт;Personalausweis;m.;путешествие, учёба/работа;
передача;Weitergabe (Abgabe;f.;свободное время, общение;
петь;singen;Verb;учёба/работа, свободное время;
пиво;Bier;n.;еда;
писатель;Schriftsteller;m. (Pers.);учёба/работа, люди;
писать;schreiben;Verb;учёба/работа, люди, общение;
письмо;Brief;n.;учёба/работа, люди;05
пить;trinken;Verb;еда;
платье;Kleid;n.;одежда;
плохой;schlecht;Adj.;описание;
площадь;Platz;f.;путешествие, жильё;
повторять;wiederholen;Verb;люди, учёба/работа, общение;
погода;Wetter;f.;погода;
подарить;schenken;Verb;люди, общение;
подарок;Geschenk;m.;люди, общение, магазин;
подруга;Freundin;f. (Pers.);люди, общение;
подумать;denken;Verb;внутренний мир;
поезд;Zug;m.;путешествие;
поездка;Reise;f.;путешествие;
поехать;fahren;Verb;путешествие;
позвонить;klingeln;Verb;люди, общение;
пойти;losgehen (gehen;Verb;путешествие, учёба/работа, свободное время;
покупать;kaufen;Verb;магазин;
половина;die Hälfte;f.;мера;
помнить;sich erinnern;Verb;внутренний мир;
понедельник;Montag;m.;время;
понравиться;gefallen;Verb;внутренний мир;
пообедать;Mittag essen;Verb;еда;
попросить;bitten;Verb;люди, общение;
посмотреть;schauen;Verb;свободное время, общение;
поступать;behandeln;Verb;учёба/работа;
посылать;schicken;Verb;люди, общение;
поужинать;Abendbrot essen;Verb;еда;
почта;Post;f.;учёба/работа, общение;
поэт;Dichter;m. (Pers.);люди, учёба/работа;
правый;(der/die/das) Rechte;Adj.;внутренний мир, люди;
предмет;Gegenstand;m.;учёба/работа;
преподаватель;Lehrer;m. (Pers.);люди, учёба/работа;
приезжать;ankommen;Verb;путешествие;
приложение;Anhang;n.;учёба/работа;
проблема;Problem;f.;люди, здоровье;
программа;Programm;f.;учёба/работа, свободное время;
продолжать;fortsetzen;Verb;время, учёба/работа;
продукт;Produkt;m.;еда, магазин;
просить;bitten;Verb;люди, общение;
профессия;Beruf;f.;учёба/работа;
пятница;Freitag;f.;время;
работа;Arbeit;f.;учёба/работа;
работать;arbeiten;Verb;учёба/работа;
рад;froh;Adj.;описание, внутренний мир;
раз;Mal;m.;мера, время;
разговаривать;sprechen;Verb;люди, общение;
размер;Größe;m.;мера;
разный;verschieden;Adj.;мера;
разумный;vernünftig;Adj.;описание, внутренний мир;
район;Gebiet;m.;путешествие, жильё;
рассказ;Erzählung;m.;свободное время, учёба/работа;
ребёнок;Kind;m. (Pers.);люди, здоровье;
река;Fluss;f.;путешествие;
ресторан;Restaurant;m.;свободное время, еда;04
родной;verwandt;Adj.;люди, политика;
родственник;Verwandter;m. (Pers.);люди;
рождение;Geburt;n.;люди, время;
роман;Roman;m.;учёба/работа, свободное время;
российский;russisch;Adj.;люди, путешествие, политика;
рот;Mund;m.;люди;
рубашка;Hemd;f.;люди;
рубль;Rubel;m.;мера, учёба/работа;
рука;Hand;f.;люди, здоровье;
русский;der Russe;Adj.;люди, путешествие, политика;
ручка;Stift;f.;учёба/работа;
рыба;Fisch;f. (Pers.);еда, животные/растения;
сад;Garten;m.;жильё;
салат;Salat;m.;еда;
самолет;airplane;m.;путешествие, транспорт;
сахар;Zucker;m.;еда, магазин;
свет;Licht;m.;люди, путешествие;
свидание;Verabredung;n.;люди, общение, свободное время;
свободный;frei;Adj.;описание;
сделать;machen;Verb;учёба/работа;
северный;nördlich;Adj.;описание, путешествие;
семья;Familie;f.;люди;
сентябрь;September;m.;время;
серый;grau;Adj.;описание;
серьёзный;ernst;Adj.;описание, внутренний мир;
сестра;Schwester;f. (Pers.);люди;05
сидеть;sitzen;Verb;люди, жильё, свободное время, описание;
сильный;stark;Adj.;люди, описание, мера;
синий;blau;Adj.;описание;
сказать;sagen;Verb;общение;
следующий;nächste;Adj.;мера, время;
словарь;Wörterbuch;m.;учёба/работа;
слово;Wort;n.;люди, общение;
смелый;mutig;Adj.;описание, внутренний мир;
смерть;Tod;f.;люди, время, здоровье;
смотреть;schauen;Verb;свободное время, общение;
смочь;können;Verb;люди, свободное время;
снег;Schnee;m.;погода;
собака;Hund;f. (Pers.);животные/растения;
событие;Ereignis;n.;люди, время;
современный;modern;Adj.;время, описание;
согласный;einverstanden;Adj.;общение, внутренний мир;
сок;Saft;m.;еда, магазин;
солнце;Sonne;n.;путешествие;
соль;Salz;f.;еда, магазин;
сосед;Nachbar;m. (Pers.);люди, общение, жильё;
спать;schlafen;Verb;свободное время;
специальность;Fach;f.;учёба/работа;
спокойный;ruhig;Adj.;люди, внутренний мир, описание;
спорт;Sport;m.;свободное время;
спрашивать;fragen;Verb;общение;
среда;Mittwoch;f.;животные/растения, погода;
стадион;Stadion;m.;свободное время;
становиться;werden (zu);Verb;учёба/работа, время;
станция;Station;f.;путешествие;
старший;der ältere;Adj.;люди, описание, мера;
старый;alt;Adj.;люди, мера, время;07
статья;Artikel;f.;учёба/работа;
стена;Wand;f.;жильё;
стоить;kosten;Verb;магазин;
стол;Tisch;m.;еда, учёба/работа, жильё;
столица;Hauptstadt;f.;жильё, путешествие;
столовая;Kantine;f.;жильё, еда;
стоять;stehen;Verb;жильё;
страна;Land;f.;люди, путешествие, политика;
страница;Seite;f.;мера, учёба/работа;
строить;bauen;Verb;учёба/работа, жильё;
студент;Student;m. (Pers.);люди, учёба/работа;03
студенческий;Studenten-;Adj.;описание, учёба/работа;
стул;Stuhl;m.;жильё;
суббота;Samstag;f.;время;
сувенир;Souvenir;m.;путешествие, магазин;
сумка;Tasche;f.;магазин;
суп;Suppe;m.;еда;
счастливый;glücklich;Adj.;описание, внутренний мир;
сын;Sohn;m. (Pers.);люди;
сыр;Käse;m.;еда, магазин;
талантливый;talentiert;Adj.;описание, внутренний мир;
танцевать;tanzen;Verb;свободное время;
театр;Theater;m.;свободное время;
телевизор;Fernsehgerät;m.;свободное время;
телефон;Telefon;m.;люди, общение;
температура;Temperatur;f.;здоровье;
теннис;Tennis;m.;свободное время;
тетрадь;Heft;f.;учёба/работа, магазин;
техника;Technik;f.;жильё, учёба/работа, магазин;
трамвай;Straßenbahn;m.;путешествие;
транспорт;Transport;m.;транспорт, путешествие;
троллейбус;Trolleybus;m.;транспорт;
трудный;schwer;Adj.;внутренний мир;
тётя;Tante;f. (Pers.);люди;
увидеть;sehen;Verb;внутренний мир;
удовольствие;Vergnügen;n.;внутренний мир;
ужин;Abendessen;m.;еда, свободное время, время;
ужинать;Abendbrot essen;Verb;еда;
улица;Straße;f.;путешествие, жильё;
умирать;sterben;Verb;люди, время, здоровье;
умный;klug;Adj.;описание, внутренний мир;
университет;Universität;m.;учёба/работа;
упражнение;Übung;n.;здоровье, свободное время, учёба/работа;
урок;Lektion;m.;учёба/работа;
уставать;müde sein;Verb;учёба/работа, здоровье, свободное время;
утро;der Morgen (Tagesanfang);n.;мера, время;
учебник;Lehrbuch;m.;учёба/работа;
ученик;Schüler;m. (Pers.);люди, учёба/работа;
учитель;Lehrer;m. (Pers.);люди, учёба/работа;
учительница;Lehrerin;f. (Pers.);учёба/работа, люди;
учить;lernen;Verb;учёба/работа;
учиться;erlernen;Verb;учёба/работа;
учреждение;(öffentl.) Einrichtung;n.;учёба/работа;
учёный;gelehrt;m. (Pers.);люди, учёба/работа;
фабрика;Fabrik;f.;учёба/работа;
факультет;Fakultät;m.;учёба/работа;
фамилия;Familienname;f.;люди, общение;
февраль;Februar;m.;время;
физика;Physik;f.;учёба/работа;
философия;Philosophie;f.;учёба/работа;
фильм;Film;m.;свободное время;
фирма;Firma;f.;учёба/работа;
форма;die Form;f.;мера;
фотоаппарат;Fotoapparat;m.;свободное время, магазин;
фотографировать;fotografieren;Verb;учёба/работа, свободное время;
фотография;Foto;f.;свободное время, учёба/работа, путешествие;
французский;Französisch;Adj.;политика, описание, люди;
фрукт;Frucht;m.;еда, магазин;
футбол;Fußball;m.;свободное время;
хлеб;Brot;m.;еда, магазин;
ходить;gehen;Verb;учёба/работа, свободное время;
хозяин;Besitzer;m. (Pers.);люди;
холодный;kalt;Adj.;описание;
хороший;gut;Adj.;описание;07
хотеть;wollen;Verb;внутренний мир;
художник;(Kunst)maler;m. (Pers.);люди, учёба/работа;
цвет;Farbe;m.;описание;
цветок;Blume;m.;животные/растения;
цена;Preis;f.;мера;
центр;Mitte / Mittelpunkt;m.;путешествие;
цирк;Zirkus;m.;свободное время;
чай;Tee;m.;еда;
чайник;Teekessel;m.;еда, магазин;
час;Stunde;m.;мера, время;
часть;Teil / Stück;f.;мера;
часы;Uhr;nur Pl.;мера, время;
чашка;Tasse;f.;магазин, жильё;
человек;Mensch;m. (Pers.);люди;
четверг;Donnerstag;m.;время;
число;Zahl;n.;мера, время;
чувствовать;fühlen;Verb;внутренний мир;
чёрный;schwarz;Adj.;описание;
шарф;Schal;m.;магазин, одежда;
шкаф;Schrank;m.;жильё;
школа;Schule;f.;люди, учёба/работа;03
экзамен;Prüfung;m.;учёба/работа;
экономика;Wirtschaft;f.;учёба/работа;
экономический;Wirtschafts-;Adj.;учёба/работа, политика;
этаж;Stockwerk;m.;жильё;
южный;südlich;Adj.;описание, путешествие;
юрист;Jurist;m. (Pers.);учёба/работа, люди;
яблоко;Apfel;n.;еда;
язык;Sprache;m.;люди, путешествие, здоровье;
яйцо;Ei;n.;еда;
январь;Januar;m.;время;
